,,,,,
Set A,,USED,Set B,,USED
How many rings are on the Olympic Flag?,Five,TRUE,Which American state is nicknamed The Diamond State?,Delaware,FALSE
Vermilion is a shade of what colour?,Red,TRUE,"What are the Sirocco, Mistral and Chinook?",Winds,FALSE
Where in your body is the patella?,Knee/Kneecap,TRUE,Who sailed in The Golden Hind?,Sir Francis Drake,FALSE
What spirit is needed to make a Moscow Mule?,Vodka,TRUE,Who wrote the book Gulliver's Travels (Full Name)?,Jonathan Swift,FALSE
On TV what was Flipper?,A Dolphin,TRUE,In Japan what is Seppuku?,Hari Kari – Suicide ,FALSE
What was given on the fourth day of Christmas?,Calling Birds,TRUE,The Dunnock is another name for which common bird?,Hedge Sparrow,FALSE
What is the name of Dennis The Menace's dog?,Gnasher,TRUE,"If someone is from Hellas, which country are they from?",Greece ,FALSE
"In the Nursery Rhyme, what did Jack Horner pull from his pie?",A Plum,TRUE,"Calabria, Liguria, Puglia and Veneto are regions of which country?",Italy,FALSE
How many feet are in a fathom?,Six,TRUE,What martial art means 'gentle way' in English? ,Judo,FALSE
What happens when Pinocchio tells a lie?,His nose grew,TRUE,What animal lives in a Drey?,Squirrel,FALSE
"Which Explorer had boats called Nina, Pinta and Santa Maria?",Christopher Columbus,TRUE,"In 1978 the first test tube baby was born, what her full name?  ",Louise Brown,FALSE
Which company is owned by Bill Gates?,Microsoft,TRUE,"Adolf Hitler wrote a book called Mein Kampf, translated into English, it means what?",“My Struggle” or “My Fight”,FALSE
What kind of animal is a Lurcher?,A Dog,TRUE,In Greek Mythology a Hamadryads spirit guards what?,Trees,FALSE
Triskadeccaphobia is the fear of what?,The Number 13,TRUE,"Syd Barrett, Roger Waters and Nick Mason are members of which band?",Pink Floyd,FALSE
What type of acid is used in car batteries? ,Sulphuric,TRUE,"Duvali, Dushira and Holi are religious days in which religion? ",Hinduism,FALSE
Who was the first man in space?,Yuri Gagarin,TRUE,In what industry did John D Rockefeller get rich?,Oil,FALSE
What would you do with a Yashmak?,Wear it – it's a Arab veil,TRUE,Who was on the Five Pound Note before Winston Churchill?,Elizabeth Fry,FALSE
On TV what was Skippy?,The Bush Kangaroo,TRUE,Where would you expect to find a piscina?,Near a church alter,FALSE
"In the Nursery Rhyme, who killed Cock Robin?",Sparrow,TRUE,Which talk show host was turned into the subject of an opera?,Jerry Springer,FALSE
In Golf what name is given to the No 3 Wood?,Spoon,TRUE,The North Star is found in which constellation?,The Little Bear,FALSE
"Who would you consult, if you have caries?",Dentist – its tooth decay,TRUE,"In Scrabble, how many points is the letter X worth?",Eight,FALSE
What two words are inscribed on the Victoria Cross?,For Valour,TRUE,Which English king was nicknamed Rufus?,William II,FALSE
Who wrote the novel Gone With The Wind?,Margaret Mitchell,TRUE,Which Welsh town gave its name to a style of sleeve?,Raglan,FALSE
Pogonophobia is the fear of what?,Beards,TRUE,Which company introduced travellers cheques?,American Express,FALSE
Who would take silk as part of their job?,Barrister,TRUE,What is known as the sport of kings?,Horse Racing,FALSE
What in business terms is the IMF?,International Monetary Fund,TRUE,Where did Wallace and Gromit visit in “A Grand Day Out”?,The Moon,FALSE
What would you do with a Maris Piper?,Eat it – it's a potato,TRUE,"In Britain we call it a pavement, what is it called in America?",Sidewalk ,FALSE
What is the currency of Austria?,Schilling,TRUE,Who would be seen wearing a trousseau?,A Bride,FALSE
How did Alfred Nobel make his money?,He invented Dynamite,TRUE,In which sport would you attempt to get stones into a house?,Curling,FALSE
What is the Islamic equal to the Red Cross?,Red Crescent,TRUE,Gnocchi is a food from which country?,Italy ,FALSE
In Scotland what are Munroes?,Mountains,TRUE,Threshers and hammerheads are types of what?,Shark,FALSE
Which car company makes the Celica?,Toyota,TRUE,In which month is the London-to-Brighton Veteran Car Run?,November,FALSE
What does an alopecia sufferer lack?,Hair,TRUE,What name is given to a yacht with two hulls?,Catamaran,FALSE
Who painted The Hay Wain?,John Constable,TRUE,"Which county does not exist: North, South, East or West Yorkshire?",East,FALSE
How many general elections did Margaret Thatcher win in the 1980's?,Two,TRUE,What is the source of pumice stone?,Volcanoes,FALSE
What is the third letter in the Greek alphabet?,Gamma,TRUE,What is the second full moon in a month called?,Blue Moon,FALSE
What colour is the gemstone Lapis Lazuli?,Blue,TRUE,Who had a hit with “Radio GaGa”?,Queen,FALSE
Which sport is featured in the film 'Million Dollar Baby'?,Boxing,TRUE,In which decade did Guinness start to publish their “Book of Records” annually?,1960s,FALSE
In which county is Alton Towers?,Staffordshire,TRUE,By what name do the English call the light red wines of Bordeaux?,Claret,FALSE
Which Helen starred in 'Prime Suspect'?,Mirren,TRUE,Who wrote the book “The Big Sleep”?,Raymond Chandler,FALSE
What parade celebrates the British sovereign's Birthday?,Trooping The Colour,TRUE,Who succeeded Michael Foot as Labour leader?,Neil Kinnock,FALSE
In which country is the wine-growing Barossa Valley?,Australia,TRUE,Which battle came first – Agincourt or Bosworth Field?,Agincourt,FALSE
"In the pirate song, how many men were on the dead man's chest?",Fifteen,TRUE,"Of British monarchs, have more been called William or Edward?",Edward,FALSE
"Back, blanket and buttonhole are all types of what?",Sitiches,TRUE,"What creatures were Laska and Beny, who went into space in 1958?",Mice,FALSE
Which island is to the south of Australia?,Tasmania,TRUE,Which number shares its key with the ampersand (&) on a standard keyboard?,Seven,FALSE
What do Manolo Blahnik and Jimmy Choo make?,Shoes,TRUE,How many keys are there on a standard piano keyboard?,"88 (52 White, 36 Black)",FALSE
What game is played at St Andrews?,Golf,TRUE,How many of those piano keys are Black?,36,FALSE
"In music, what note is written on the line above the middle line of the treble clef?",D,TRUE,Moving clockwise on a dartboard what number is next to 1?,18,FALSE
Which programme started with the words “There is nothing wrong with your television set....”?,The Outer Limits,TRUE,In what year did Halley's Comet last fly past the Earth?,1986,FALSE
Which characters live in Springfield?,The Simpsons,TRUE,What is the name of the Queen's country home in Norfolk?,Sandringham,FALSE
Who wrote the music for “Jesus Christ Superstar”?,Andrew Lloyd Webber,TRUE,"In the past, which animal did doctors use to drain blood from the sick?",Leech,FALSE
Which Alfred directed the thrillers “Rebecca” and “Notorious”?,Hitchcock,TRUE,Which Islands inspired Charles Darwin to write “The Origin of Species”?,Galapagos,FALSE
Which is London's most frequently stolen street sign?,Abbey Road,TRUE,Who wrote the novel “East of Eden”?,John Steinback,FALSE
In which county do Bulls battle against Rhinos?,West Yorkshire,TRUE,What river are the Victoria Falls on?,Zambezi,FALSE
How long is a Member of Parliament elected for?,Five Years,TRUE,What boat is found on the canals of Venice?,Gondola,FALSE
"What word can follow “band”, “mass” and “pass”?",Age,TRUE,Along with Corn Flakes which cereal did Kellogg's export to the UK in 1922?,All Bran,FALSE
Who had a hit with the old Osmonds hit “Love Me for a Reason”?,Boyzone,TRUE,Coal is composed of which element?,Carbon,FALSE
In The Film “Easy Rider” what are the riders riding?,Motorbikes,TRUE,What name is given to animals that do not hunt or eat meat?,Herbivore,FALSE
In which city is La Scala opera house?,Milan,TRUE,Which country originated the term “plonk” for wine?,Australia,FALSE
Which orange-coloured dye is obtained from the flowers of the autumn crocus?,Saffron,TRUE,What does a hippophobic fear?,Horses,FALSE
In which century was Abraham Lincoln born?,19th,FALSE,The Acropolis overlooks which capital city?,Athens,FALSE
"If you were in Amman, what country's capital would you be in?",Jordan,FALSE,What was the name of the first monarch of the 20th century?,Victoria ,FALSE
What flavouring is used in the liqueur amaretto?,Almonds,FALSE,How many old pence were there in £1?,240,FALSE
What pace falls between a horse's trot and a full gallop?,Canter,FALSE,"What is the process of casting skin, hair or feathers called?",Moulting,FALSE
Which city did the Cowardly Lion want to get to?,Oz,FALSE,What is the mathematical term which means without end or limitless?,Infinity,FALSE
What kind of farm did George Orwell write about?,Animal Farm,FALSE,What is the name of the medical oath taken by doctors?,Hippocratic Oath,FALSE
Who designed Liz Hurley's infamous “safety pin” dress?,Versace,FALSE,What was the Teenage Mutant Ninja Turtles favourite food?,Pizza,FALSE
Which strait links the Black Sea and the Sea of Marmara?,The Bosporus,FALSE,On which subject did Monty Don write and broadcast?,Gardening,FALSE
In which 1968 musical did Bill Sikes murder Nancy?,Oliver!,FALSE,If you suffer from epistaxis what is wrong with you?,You have a nosebleed,FALSE
Cleopatra supposedly bathed in the milk of which animal?,Ass,FALSE,In which book would you find the manservant Paspartout?,Around The World In 80 Days,FALSE
Which is the only vowel on a standard keyboard that is not on the top row of letters?,A,FALSE,What animals name translates as Water Horse?,Hippopotamus,FALSE
The zodiac sign Gemini covers which two calendar months?,May and June,FALSE,In Greek Mythology who killed the Gorgon?,Perseus,FALSE
What do Ictheologists study?,Fish,FALSE,Which two metals are alloyed to make pewter?,Tin and Lead,FALSE
What are a group of owls called?,A Parliament ,FALSE,"What links – Sartre, Nietzsche, Russell and Descartes?",There Philosophers,FALSE
What animal would you find in a form?,Hare,FALSE,What is the longest river in Italy?,Po,FALSE
Who was Stan Laurel's comedy partner? (Full Name),Oliver Hardy ,FALSE,What does a polyandric woman have more than one of?,Husband,FALSE
What are classified by the A B O system?,Blood Groups,FALSE,"Brazil, Uruguay, Mozambique and Angola were former colonies of which country?",Portugal,FALSE
In which city was there a famous black hole?,Calcutta ,FALSE,In 1911 the archaeologist Hiram Bingham discovered what lost city?,Machu Picchu ,FALSE
"If you had rubella, what would you have caught?",German Measles,FALSE,Who wrote the books Billy Budd and Moby Dick? ,Herman Melville,FALSE
"On the Mohs scale a diamond is the hardest substance, what's the softest? ",Talc,FALSE,Which highwaymen rode a horse called Black Bess?,Dick Turpin,FALSE
Which country do Sinologists study?,China,FALSE,Barry Allen was the alter ego of which DC comic superhero?,The Flash ,FALSE
Which non alcoholic cordial is made from pomegranates?,Grenadine,FALSE,Brisbane is the state capital of which Australian state? ,Queensland ,FALSE
"If taken literally, what should you see in a Hippodrome?",Horses,FALSE,In Norse mythology what is the name of the ultimate battle?,Ragnarok,FALSE
Who wrote the novel The Man in the Iron Mask?,Alexander Dumas,FALSE,In 1890 the first electric what was opened in London?,Underground Railway,FALSE
What was the first James Bond film?,Dr No,FALSE,Oil seed rape belongs to which plant family?,Mustard,FALSE
What's the capital of Ethiopia?,Addis Ababa,FALSE,Which Norwegian politicians name became a word for traitor?,Vidkun Quisling,FALSE
What is the largest state in the USA?,Alaska,FALSE,What is the capital of Morocco?,Rabat,FALSE
Who's autobiography was called The Long Walk to Freedom?,Nelson Mandela,FALSE,Zambia and Zimbabwe used to be called what?,Rhodesia,FALSE
What was discovered in 1922 by Howard Carter?,Tutankhamen's Tomb,FALSE,Rene Laennac invented which aid for doctors in 1810?,Stethoscope,FALSE
What is the correct term of address to the Pope?,Your Holiness,FALSE,What number does not exist in Roman Numerals?,Zero,FALSE
Who composed the ballets Sleeping Beauty and The Nutcracker?,Tchaikovsky,FALSE,Which annual sporting event between two teams started in 1829?,The Boat Race,FALSE
Robin Williams dressed in drag for which 1993 film?,Mrs Doubtfire,FALSE,"Who was the jeweller to the Russian Court, famous for it's eggs?",Faberge,FALSE
Which chess piece could be a member of the church?,Bishop,FALSE,Who performed the first heart transplant in South Africa?,Christian Barnard,FALSE
Which German word means lightning was used in World War 2?,Blitzkrieg,FALSE,What is the common name for the star Sirius?,Dog Star,FALSE
Broccoli belongs to what family of plants?,Cabbage,FALSE,Ageusia is the loss of which sense?,Taste,FALSE
Who wrote the book Catch 22 (Full Name)?,Joseph Heller,FALSE,What was Casanova's occupation at the time of his death?,Librarian,FALSE
Which country set up the world's first chemistry lab in 1650?,Netherlands,FALSE,What award did Marlon Brando & George C Scott refuse to accept?,An Oscar,FALSE
What is the national flower of Japan?,Chrysanthemum,FALSE,What was the name of the last (unfinished) novel of Charles Dickens?,The Mystery of Edwin Drood,FALSE
Where in France do claret wines come from?,Bordeaux,FALSE,Who is the Patron Saint of thieves?,St Nicholas,FALSE
Consumption was the former name of which disease?,Tuberculosis,FALSE,"Humans are 10,000 times more sexually active than what animal?",Rabbits,FALSE
