1,2,3,4,5,6,
trouble,tremble,squash,unparalleled,village,possession,1
live,scene,ladder,amusement,cuddly,join,2
category,different,political,link,therefore,vehicle,3
hair,computing,excellent,chicken,transition,monstrous,4
meteorite,sample,diameter,haggle,murderous,craftsman,5
racial,except,scared,watchdog,vortex,league,6
abundant,doctor,hour,nightmare,partnership,promise,7
macaroni,mountain,bluegrass,energetically,flight,grateful,8
plug,pigeon,recount,timely,deconstruct,drained,9
cause,uphill,yield,accent,millennium,damaged,10
1,2,3,4,5,6,
noticeable,veiled,screech,pamphlet,ministerial,pneumonia,1
exploit,pleasant,mysterious,earn,iron,advance,2
relax,laden,daffodil,pathetic,psychology,perform,3
surrounding,vigorous,bent,modernity,defector,harass,4
estate,blight,crest,repetition,rhyme,underneath,5
tenuous,slant,contributing,concrete,pretty,dynamic,6
hemisphere,story,songs,tsunami,mood,graceful,7
particle,belly,ad hoc,weird,parallel,truthful,8
hypothesize,insular,ought,charismatic,usually,losing,9
football,fine,weather,rhythm,loneliness,doorbell,10
1,2,3,4,5,6,
slip,rampant,structure,whether,civilization,before,1
temporary,fork,fusion,trait,nameless,immediately,2
sting,wrongly,publisher,miscreant,therapeutic,interfere,3
misplace,millennia,bless,original,presentation,frog,4
carrying,experience,worm,chilly,aggression,want,5
relative,grandiose,heck,production,imbalance,environment,6
promotion,scandal,expedite,terrorist,spoils,trade,7
particularly,utter,path,chest,tendency,surprise,8
earwax,embrace,necklace,sleeping,sanitary,received,9
weapon,board,divide,stitch,enactment,warm,10
1,2,3,4,5,6,
stain,preferring,intelligent,relate,knowledge,describe,1
identity,accident,experienced,adhesive,which,occurrence,2
paid,nephew,calendar,material,range,berry,3
feign,height,judgmental,ahead,adorable,referred,4
evade,unity,grimy,knife,critical,circle,5
neighbourhood,scream,minute,reference,bonnet,greet,6
legend,slice,disappear,lieutenant,illusion,prepaid,7
until,typical,finger,mutual,restoration,judgment,8
stamp,fantasy,haircut,change,pained,claim,9
skip,shaggy,arrogant,alongside,translate,import,10
1,2,3,4,5,6,
detention,neanderthal,hurry,lovely,zone,astonishment,1
roster,secretary,street,toward,secretive,room,2
afterthought,dividend,verse,soot,linkage,magnitude,3
omission,utmost,waterfall,heartfelt,incredulous,preferable,4
chute,back,royalty,foreign,adult,manager,5
dull,crutch,quarter,lost,brake,corruption,6
birds,transcript,african,awful,marry,occasion,7
citizen,placid,upset,television,forward,lying,8
pension,humbly,harsh,siege,major,purple,9
connection,pony,fleeing,teeth,damage,laboratory,10
1,2,3,4,5,6,
cavernous,quite,engagement,interrupt,coming,lifting,1
teasing,colleague,peculiar,chimney,sassy,succeed,2
unforeseen,crushed,adjustment,quaint,marathon,guide,3
happen,character,permanent,annoy,exile,resistance,4
strengthen,pricey,sleeve,native,berate,crisscross,5
automatic,droplet,adorn,piece,prickly,commitment,6
fuzz,consumption,killer,bottom,protest,portion,7
does,suspenders,request,beginning,x-ray,honorary,8
familiar,stay,wake,uncovered,download,west,9
completely,bargain,literate,collaboration,naturally,lobby,10
1,2,3,4,5,6,
fear,populate,skate,criticize,lineage,achieve,1
privilege,excited,movement,modernization,attainable,restorative,2
brilliant,willing,unfortunately,famous,develop,guidance,3
deferred,chemistry,will,befit,cultivation,return,4
raven,linear,kettle,bucket,bitter,lazy,5
curtain,history,zebra,practical,stumble,eggnog,6
deposit,approximate,miniature,duke,spicy,disastrous,7
whole,incidentally,bulge,conservation,fitting,afford,8
mercy,interesting,guarantee,ridiculous,first,basically,9
valuable,peak,dilemma,officer,negligence,depressed,10
1,2,3,4,5,6,
oyster,eradicate,tombstone,recommend,possess,skinny,1
condition,patrol,stuff,sick,certain,musty,2
garbage,substance,smallpox,forty,fraud,faint,3
maggot,storage,necessary,meteor,boiled,sale,4
dapper,tries,shelf,toast,committee,advice,5
flagrant,cemetery,overt,difference,island,cafe,6
irresistible,censure,sound,astonishing,further,perfect,7
grow,drench,member,base,cancer,instrument,8
charcoal,hurl,optimism,rust,outlook,flesh,9
planning,evolution,fashion,female,unusual,experiment,10
1,2,3,4,5,6,
bewildered,,,,,,
authenticity,,,,,,
subdued,,,,,,
conception,,,,,,
knee,,,,,,
finished,,,,,,
guitar,,,,,,
liaise,,,,,,
remedial,,,,,,
quit,,,,,,
customer,,,,,,
petite,,,,,,
absurd,,,,,,
desktop,,,,,,
disarm,,,,,,
unhappy,,,,,,
pavilion,,,,,,
efficient,,,,,,
force,,,,,,
agenda,,,,,,
disrupt,,,,,,
temple,,,,,,
snapper,,,,,,
warrant,,,,,,
sewage,,,,,,
resemblance,,,,,,
gifted,,,,,,
means,,,,,,
prejudice,,,,,,
line,,,,,,
allow,,,,,,
time,,,,,,
negotiator,,,,,,
channel,,,,,,
orderly,,,,,,
wavelength,,,,,,
modern,,,,,,
competition,,,,,,
becoming,,,,,,
limit,,,,,,
shut,,,,,,
average,,,,,,
summer,,,,,,
mass,,,,,,
eight,,,,,,
alert,,,,,,
land,,,,,,
advertise,,,,,,
retirement,,,,,,
gallon,,,,,,
fist,,,,,,
tower,,,,,,
absence,,,,,,
monk,,,,,,
validity,,,,,,
vulgar,,,,,,
thank,,,,,,
securely,,,,,,
curiosity,,,,,,
picture,,,,,,
professional,,,,,,
liaison,,,,,,
muscle,,,,,,
idealistic,,,,,,
insurance,,,,,,
perceive,,,,,,
explanation,,,,,,
argument,,,,,,
exit,,,,,,
referring,,,,,,
flavour,,,,,,
subterranean,,,,,,
store,,,,,,
degenerate,,,,,,
fascinating,,,,,,
long,,,,,,
undeterred,,,,,,
heel,,,,,,
priority,,,,,,
float,,,,,,
heroes,,,,,,
conviction,,,,,,
through,,,,,,
window,,,,,,
careful,,,,,,
snails,,,,,,
eschew,,,,,,
fake,,,,,,
labourer,,,,,,
month,,,,,,
retort,,,,,,
jury,,,,,,
clip,,,,,,
twelfth,,,,,,
soil,,,,,,
successful,,,,,,
upland,,,,,,
uppity,,,,,,
fireman,,,,,,
persevere,,,,,,
daughter,,,,,,
expect,,,,,,
enlist,,,,,,
terrific,,,,,,
nicely,,,,,,
implication,,,,,,
forbidden,,,,,,
easily,,,,,,
accompany,,,,,,
smelly,,,,,,
reveal,,,,,,
idyllic,,,,,,
tongue,,,,,,
publicly,,,,,,
lemon,,,,,,
bulletin,,,,,,
registration,,,,,,
rife,,,,,,
sophisticated,,,,,,
enchanting,,,,,,
across,,,,,,
mechanism,,,,,,
alight,,,,,,
vanish,,,,,,
benefit,,,,,,
happened,,,,,,
magnificent,,,,,,
conscious,,,,,,
breathe,,,,,,
presence,,,,,,
believe,,,,,,
happiness,,,,,,
creep,,,,,,
service,,,,,,
license,,,,,,
mutilated,,,,,,
drown,,,,,,
ticking,,,,,,
produce,,,,,,
greasy,,,,,,
